province,confirmedCount,deadCount,curedCount
France,353370,110980,5921696
United Kingdom,539,152289,4732434
United States,28912906,603966,33624776
Spain,150376,80779,3782463
Netherlands,11886,17740,1682221
Brazil,16582053,512819,18386894
Sweden,4971,14619,1088896
Belgium,19239,25160,1082476
Serbia,104794,9280,823872
India,29251029,395751,30233183
Switzerland,317600,10343,702507
Russia,4956714,133282,5451291
Kazakhstan,121347,7666,468398
Argentina,4027447,92568,4405184
Mexico,1988096,232521,2503408
Slovenia,2027,4747,257210
Iran,2835633,83845,3167741
Ireland,25422,4979,270097
Indonesia,1850481,57138,2115304
Colombia,3800388,103321,4092746
Honduras,92309,6916,259628
South Africa,1709999,59900,1928897
Poland,2651522,74979,2879638
Puerto Rico,0,2544,139802
Slovakia,255300,12505,391551
Turkey,5275231,49576,5409027
Iraq,1226959,17061,1321232
Cyprus,2057,374,74785
孟加拉国,804103,14172,888406
Costa Rica,287248,4602,361005
Bolivia,353032,16551,433013
Finland,31000,969,95084
Malaysia,667709,4944,734048
Italy,4072099,127458,4257289
Dominican Rep.,263958,3797,322778
Kenya,124436,3596,182597
Egypt,209395,16062,280005
Philippines,1321050,24372,1397992
Paraguay,360030,12365,416843
Greece,363915,12637,420670
Thailand,198928,1912,244447
Tunisia,346290,14579,403493
Afghanistan,68298,4709,115609
Norway,88952,792,130619
Hungary,737233,29980,807910
Nepal,584334,9009,633679
Algeria,96108,3685,138113
Germany,3618092,91303,3746936
Mongolia,67579,493,104900
Pakistan,900291,22211,954743
Portugal,825684,17084,874547
Sri Lanka,218998,2944,253618
Oman,703940,2967,737830
Chile,1484410,32298,1547103
留尼旺,0,226,29502
French Guiana,0,142,27040
Uganda,51348,903,78394
赞比亚共和国,124582,2022,148568
Guatemala,261171,9050,291595
Cameroon,57821,1320,80487
马约特,0,174,20176
United Arab Emirates,605618,1796,626936
Namibia,63932,1400,84705
Jamaica,29830,1061,50005
Uruguay,340352,5474,364859
Ukraine,2163069,52286,2233996
Kuwait,331015,1933,351481
Jordan,721016,9703,748685
日本,761912,14657,794457
瓜德罗普岛,0,266,17427
Venezuela,249039,3055,268349
Swaziland,2936,678,18947
Myanmar,135413,3297,153160
波黑,181725,9655,204945
Ethiopia,259044,4314,275935
马提尼克,0,99,12199
Haiti,12790,502,25130
Panama,381549,6541,399877
Libya,177600,3187,192470
Cuba,167269,1231,179656
Dem.Rep.Congo,28219,916,40253
Kyrgyzstan,108465,1977,120865
Canada,1376921,26197,1413323
Saudi Arabia,464256,7775,482221
Bulgaria,394125,18027,421531
Botswana,59616,1095,70071
Vietnam,6319,76,15643
Ecuador,423688,21523,454336
Rwanda,27090,420,36627
Georgia,349658,5266,363522
库拉索岛,4438,125,12322
特立尼达和多巴哥,23675,800,32069
Lebanon,528643,7835,544002
Somalia,6985,775,14875
Lithuania,267349,4380,278674
Zimbabwe,37817,1736,46442
Korea,146340,2013,155071
布隆迪共和国,4,8,5348
也门共和国,350,1356,6905
Cambodia,42157,540,47649
China,107981,5478,118358
Angola,32791,889,38556
Lesotho,6467,329,11239
巴林,259234,1341,264995
Congo,8208,165,12485
马尔代夫,69031,209,73327
Suriname,16710,507,21249
Belarus,408307,3113,415339
Mali,10054,525,14414
Armenia,216558,4508,224797
Nicaragua,4225,190,8101
El Salvador,71603,2367,77484
Uzbekistan,104007,725,108184
Sudan,30404,2750,36574
Mozambique,71081,868,75138
Denmark,287344,2532,292943
斐济,753,15,3591
Palestine,307424,3558,313639
Estonia,127149,1269,130968
Australia,27359,910,30499
Austria,637424,10700,650261
圣文森特和格林纳丁斯,147,12,2207
Central African Rep.,5112,98,7139
Czech Rep.,1634739,30298,1666890
Romania,1045531,33253,1080630
Qatar,219333,588,221692
Sierra Leone,3408,174,5306
Syria,21791,1864,25365
Guyana,17626,459,19674
塞舌尔,13627,63,15116
Nigeria,163949,2119,167467
Malawi,33031,1200,35629
Ghana,93212,795,95369
Israel,832923,6430,840638
Montenegro,98308,1609,101190
Liberia,2274,120,3635
Latvia,133574,2551,137210
Timor-Leste,7838,20,8912
圣巴泰勒米岛,0,1,1040
Guinea,22579,169,23692
Moldova,249556,6184,256559
Bahamas,11434,245,12467
Azerbaijan,330084,4968,335836
圣马丁岛,1598,27,2314
佛得角,31371,286,32344
Madagascar,40676,905,42166
Croatia,350938,8200,359652
Côte d'Ivoire,47239,309,48058
Mauritania,19623,486,20604
Eritrea,5261,35,5780
Senegal,41058,1159,42677
毛里求斯,1411,18,1852
Papua New Guinea,16518,173,17098
Tanzania,167,21,509
Singapore Rep.,62181,36,62530
圣其茨和尼维斯,112,3,428
Bhutan,1747,1,2052
Gabon,24509,159,24958
Iceland,6595,30,6902
Togo,13441,128,13816
北马其顿,149933,5481,155655
Guinea-Bissau,3562,69,3844
Belize,12612,329,13137
法属波利尼西亚,18658,142,18994
Luxembourg,69596,818,70600
S. Sudan,10514,116,10812
荷兰加勒比地区,0,3,177
钻石公主号邮轮,574,13,741
北马里亚纳群岛联邦,32,2,183
Lao PDR,1972,3,2100
列支敦士登,2957,59,3125
泽西岛,3211,69,3385
New Caledonia,30,0,129
巴巴多斯,3932,47,4074
科摩罗,3745,146,3986
Eq. Guinea,8510,121,8723
美属维尔京群岛,3700,30,3819
关岛,8104,139,8328
圣卢西亚,5101,84,5269
Albania,129990,2456,132512
Benin,8000,104,8170
Niger,5200,212,5478
安道尔,13697,128,13882
荷属圣马丁,2516,33,2601
摩纳哥,2502,33,2571
阿鲁巴,10994,107,11136
Gambia,5855,181,6069
New Zealand,2314,26,2373
直布罗陀,4221,94,4345
马耳他,30158,420,30606
开曼群岛,590,2,609
法罗群岛,757,1,772
Burkina Faso,13297,168,13478
Bermuda,2464,33,2510
Brunei,245,3,259
特克斯和凯科斯群岛,2396,18,2424
格陵兰,41,0,50
Djibouti,11438,155,11601
马恩岛,1569,29,1605
根西岛,811,17,835
圣多美和普林西比,2318,41,2365
英属维尔京群岛,293,1,298
格林那达,158,1,163
圣马力诺,4998,90,5091
Chad,4774,174,4951
多米尼克,191,0,193
梵蒂冈,27,0,29
圣皮埃尔和密克隆群岛,25,0,26
蒙特塞拉特,18,1,20
安提瓜和巴布达,1221,42,1263
安圭拉,109,0,109
Falkland Islands,63,0,63
Tajikistan,13252,901,13714
Morocco,520769,9225,525443
Peru,1968723,189261,2007477
